日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/02/01,"43,828,461","6,278,170,924",144.00,144.00,141.50,144.00,+2.00,"12,189"
105/02/02,"25,400,755","3,624,574,210",144.00,144.50,141.50,142.50,-1.50,"7,725"
105/02/03,"71,652,894","10,413,868,630",145.00,146.00,144.50,146.00,+3.50,"18,892"
105/02/15,"77,064,578","11,147,911,270",142.00,146.50,142.00,145.00,-1.00,"21,814"
105/02/16,"56,361,967","8,269,447,009",146.00,148.00,145.50,147.50,+2.50,"17,135"
105/02/17,"38,486,773","5,700,550,482",149.00,149.00,147.00,148.00,+0.50,"13,872"
105/02/18,"61,877,408","9,304,766,800",150.00,151.00,149.50,151.00,+3.00,"22,057"
105/02/19,"37,444,703","5,618,619,050",149.00,151.00,149.00,151.00,0.00,"10,981"
105/02/22,"29,751,439","4,489,653,531",149.50,152.50,149.50,151.00,0.00,"9,155"
105/02/23,"22,500,491","3,365,510,724",150.50,151.00,149.00,149.50,-1.50,"8,897"
105/02/24,"22,082,824","3,279,735,952",149.50,150.50,147.00,148.00,-1.50,"7,979"
105/02/25,"25,233,069","3,783,097,850",149.00,151.00,148.50,150.50,+2.50,"11,234"
105/02/26,"46,425,984","6,913,777,396",151.00,151.50,148.00,149.00,-1.50,"9,939"
