日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/02/08,"110,969,823","8,381,585,010",77.00,77.00,74.80,75.50,-0.80,"26,740"
100/02/09,"81,246,782","6,040,472,175",75.50,75.60,73.80,73.80,-1.70,"20,142"
100/02/10,"83,632,934","6,078,858,298",73.10,73.40,72.00,72.00,-1.80,"20,588"
100/02/11,"112,430,037","8,044,680,271",72.20,72.40,70.90,71.40,-0.60,"26,850"
100/02/14,"66,889,583","4,841,305,528",72.00,72.90,71.50,72.50,+1.10,"14,377"
100/02/15,"56,495,041","4,102,685,127",72.40,73.10,71.40,72.50,0.00,"13,726"
100/02/16,"54,423,863","3,933,560,828",72.40,72.70,71.90,72.10,-0.40,"11,904"
100/02/17,"49,330,644","3,562,377,585",72.40,72.90,71.60,72.50,+0.40,"11,030"
100/02/18,"74,599,914","5,483,477,622",73.10,73.90,73.00,73.00,+0.50,"14,923"
100/02/21,"39,070,280","2,849,659,463",73.10,73.40,72.30,73.40,+0.40,"7,394"
100/02/22,"82,661,396","5,929,226,108",72.20,72.50,71.20,72.50,-0.90,"18,155"
100/02/23,"80,262,579","5,724,036,296",71.50,71.90,70.50,71.00,-1.50,"19,137"
100/02/24,"62,768,424","4,454,063,545",71.00,71.40,70.50,70.50,-0.50,"12,755"
100/02/25,"78,873,152","5,559,067,692",70.60,71.10,69.90,70.50,0.00,"17,438"
