日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/12/01,"38,356,265","8,830,392,980",228.50,233.50,227.50,231.00,+5.00,"17,632"
106/12/04,"22,939,032","5,347,622,547",232.50,234.50,231.00,234.00,+3.00,"7,763"
106/12/05,"30,189,765","6,938,661,754",231.00,231.00,228.50,229.50,-4.50,"11,202"
106/12/06,"34,031,690","7,752,572,207",228.00,229.50,226.50,227.00,-2.50,"10,749"
106/12/07,"41,619,903","9,349,711,831",226.50,226.50,222.50,226.50,-0.50,"13,336"
106/12/08,"38,183,260","8,678,808,540",231.00,231.00,224.50,227.00,+0.50,"9,485"
106/12/11,"20,649,609","4,706,571,094",228.50,229.00,227.00,227.50,+0.50,"6,384"
106/12/12,"28,188,584","6,399,536,562",229.50,229.50,225.00,227.50,0.00,"6,210"
106/12/13,"19,619,331","4,454,578,768",227.50,228.00,226.50,227.00,-0.50,"6,108"
106/12/14,"17,263,313","3,956,456,249",228.00,230.50,227.50,230.50,+3.50,"6,689"
106/12/15,"42,725,779","9,781,791,170",228.50,230.00,226.50,230.00,-0.50,"7,602"
106/12/18,"15,702,664","3,565,805,928",227.00,228.00,226.50,227.00,-3.00,"5,961"
106/12/19,"25,899,129","5,844,605,314",226.50,228.50,224.00,225.00,-2.00,"7,609"
106/12/20,"34,514,333","7,748,610,375",225.00,225.50,223.50,224.50,-0.50,"10,336"
106/12/21,"20,826,164","4,696,105,505",226.50,227.00,224.50,225.00,+0.50,"5,893"
106/12/22,"19,106,483","4,315,809,802",225.00,227.50,224.00,227.50,+2.50,"6,146"
106/12/25,"4,579,675","1,045,118,165",228.00,229.50,226.50,228.50,+1.00,"2,288"
106/12/26,"13,755,843","3,118,538,018",229.00,229.00,225.00,226.00,-2.50,"3,550"
106/12/27,"12,515,245","2,820,168,625",225.00,226.00,225.00,225.00,-1.00,"5,717"
106/12/28,"24,370,371","5,521,736,966",226.50,228.00,225.00,226.00,+1.00,"7,413"
106/12/29,"25,610,443","5,861,624,377",227.50,230.00,226.50,229.50,+3.50,"8,325"
