日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
103/04/01,"40,636,462","4,834,224,978",119.00,119.50,118.50,119.50,+1.00,"12,571"
103/04/02,"43,684,651","5,238,971,816",120.50,121.00,119.00,120.00,+0.50,"9,400"
103/04/03,"37,000,420","4,374,998,060",118.50,119.00,117.50,118.50,-1.50,"10,198"
103/04/07,"45,254,843","5,305,535,631",117.50,118.00,116.50,117.50,-1.00,"11,316"
103/04/08,"43,894,168","5,173,993,549",117.00,119.50,117.00,119.00,+1.50,"9,396"
103/04/09,"29,648,114","3,548,296,766",119.50,120.00,119.00,119.00,0.00,"8,284"
103/04/10,"27,215,773","3,243,663,187",119.00,119.50,118.50,119.50,+0.50,"7,229"
103/04/11,"34,847,792","4,153,152,840",118.50,120.00,118.00,120.00,+0.50,"7,639"
103/04/14,"31,053,034","3,738,450,410",120.00,121.00,120.00,120.50,+0.50,"8,739"
103/04/15,"29,397,114","3,579,955,408",121.50,122.50,121.00,122.50,+2.00,"9,839"
103/04/16,"51,075,652","6,208,178,396",121.50,122.50,121.00,121.00,-1.50,"10,989"
103/04/17,"36,418,501","4,374,322,920",120.50,121.50,119.00,120.00,-1.00,"9,152"
103/04/18,"32,921,335","4,023,630,870",122.50,123.00,121.00,123.00,+3.00,"9,515"
103/04/21,"24,162,522","2,938,646,120",122.00,122.00,121.00,121.50,-1.50,"5,868"
103/04/22,"27,034,052","3,282,075,077",121.00,122.50,120.50,121.50,0.00,"5,886"
103/04/23,"34,358,023","4,181,126,643",123.00,123.00,120.50,121.00,-0.50,"8,145"
103/04/24,"25,524,592","3,080,805,399",121.00,121.00,120.00,121.00,0.00,"6,289"
103/04/25,"49,438,252","5,889,185,811",121.00,121.00,118.00,118.50,-2.50,"11,457"
103/04/28,"28,068,430","3,344,699,670",118.50,120.00,117.50,119.00,+0.50,"7,030"
103/04/29,"21,811,790","2,618,945,800",120.50,121.00,119.00,120.50,+1.50,"4,991"
103/04/30,"44,124,133","5,237,519,729",120.00,120.50,117.00,118.50,-2.00,"9,169"
