日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
101/11/01,"36,018,430","3,184,279,870",88.60,89.20,87.70,89.20,+0.50,"7,548"
101/11/02,"39,106,042","3,513,506,904",90.00,90.10,89.50,89.90,+0.70,"9,149"
101/11/05,"31,496,291","2,830,445,174",89.90,90.30,88.80,90.30,+0.40,"7,537"
101/11/06,"26,410,622","2,380,950,880",90.60,90.60,89.70,90.40,+0.10,"7,490"
101/11/07,"22,104,042","2,001,256,326",90.50,91.00,90.00,91.00,+0.60,"7,062"
101/11/08,"39,982,021","3,613,654,978",90.80,90.90,89.90,90.50,-0.50,"9,834"
101/11/09,"38,435,994","3,471,644,015",90.30,90.90,89.50,90.80,+0.30,"9,270"
101/11/12,"29,957,365","2,735,085,181",91.00,91.80,90.60,91.30,+0.50,"9,522"
101/11/13,"41,761,048","3,757,311,680",91.00,91.00,89.30,90.30,-1.00,"11,539"
101/11/14,"31,098,501","2,811,100,212",90.00,90.90,89.50,90.50,+0.20,"6,542"
101/11/15,"25,096,315","2,259,688,850",89.90,90.60,89.00,90.20,-0.30,"6,977"
101/11/16,"33,802,911","3,035,657,490",89.20,90.30,89.20,90.20,0.00,"6,953"
101/11/19,"24,008,686","2,163,252,687",89.70,90.50,89.70,90.00,-0.20,"6,294"
101/11/20,"21,474,874","1,936,744,971",90.00,90.40,89.80,90.40,+0.40,"5,637"
101/11/21,"30,262,482","2,730,418,163",90.30,90.90,89.20,90.50,+0.10,"7,078"
101/11/22,"20,798,294","1,891,304,729",90.30,91.30,90.30,91.30,+0.80,"6,279"
101/11/23,"64,301,847","6,044,532,536",91.60,95.50,91.50,95.50,+4.20,"19,913"
101/11/26,"40,021,016","3,812,894,830",95.50,95.60,94.90,95.30,-0.20,"10,458"
101/11/27,"50,925,485","4,866,241,979",94.60,96.30,94.30,96.30,+1.00,"12,275"
101/11/28,"63,210,896","6,054,403,755",95.80,96.10,95.30,95.90,-0.40,"9,478"
101/11/29,"56,516,236","5,454,663,600",96.00,97.30,95.50,96.50,+0.60,"10,024"
101/11/30,"76,884,589","7,526,710,825",96.00,98.80,95.90,98.70,+2.20,"16,933"
