日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/09/01,"26,101,335","4,486,398,290",176.00,176.00,173.00,173.50,-2.50,"7,279"
105/09/02,"19,489,130","3,368,711,120",176.50,176.50,174.00,174.50,+1.00,"6,315"
105/09/05,"27,982,906","4,884,204,996",176.50,177.50,176.50,176.50,+2.00,"6,513"
105/09/06,"29,646,892","5,218,919,616",177.00,179.00,176.50,179.00,+2.50,"9,498"
105/09/07,"50,851,477","9,311,446,211",180.50,185.00,180.00,184.00,+5.00,"19,497"
105/09/08,"30,307,949","5,555,013,307",182.50,184.50,182.50,183.00,-1.00,"10,923"
105/09/09,"30,635,512","5,518,555,160",181.00,181.00,179.50,179.50,-3.50,"8,177"
105/09/10,"15,470,223","2,747,098,264",177.00,179.00,176.00,178.00,-1.50,"5,804"
105/09/12,"42,751,708","7,504,512,206",177.50,177.50,174.00,175.00,-3.00,"14,891"
105/09/13,"38,438,582","6,736,154,003",176.50,176.50,173.50,175.00,0.00,"11,379"
105/09/14,"52,966,216","9,216,408,104",174.00,176.00,173.50,173.50,-1.50,"11,689"
105/09/19,"57,296,972","10,375,685,848",179.50,183.00,178.50,182.50,+9.00,"19,155"
105/09/20,"23,647,416","4,319,888,712",182.00,183.50,181.50,183.00,+0.50,"8,140"
105/09/21,"26,261,794","4,805,884,782",181.00,184.00,180.50,184.00,+1.00,"8,483"
105/09/22,"21,213,260","3,921,937,500",185.00,185.50,183.50,185.50,+1.50,"8,939"
105/09/23,"23,141,189","4,313,995,664",185.00,187.50,184.50,187.50,+2.00,"9,042"
105/09/26,"25,218,996","4,635,639,758",183.50,185.00,183.00,183.00,-4.50,"7,882"
105/09/29,"57,778,769","10,764,097,342",185.50,187.50,185.50,185.50,+2.50,"15,213"
105/09/30,"45,163,412","8,309,463,356",185.50,186.50,182.50,182.50,-3.00,"11,548"
