日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/02/07,"64,637,049","41,221,401,027",644.00,644.00,631.00,635.00,-1.00,"43,774"
111/02/08,"43,786,259","27,805,114,442",645.00,645.00,628.00,628.00,-7.00,"40,026"
111/02/09,"33,633,394","21,289,086,984",635.00,637.00,630.00,633.00,+5.00,"29,746"
111/02/10,"37,388,892","24,028,303,016",639.00,649.00,637.00,649.00,+16.00,"28,452"
111/02/11,"28,194,682","18,225,628,338",646.00,650.00,642.00,650.00,+1.00,"21,995"
111/02/14,"39,394,670","25,104,180,949",640.00,641.00,635.00,637.00,-13.00,"33,928"
111/02/15,"24,497,955","15,556,533,655",633.00,639.00,633.00,633.00,-4.00,"31,907"
111/02/16,"27,395,771","17,635,435,307",645.00,646.00,640.00,646.00,+13.00,"23,136"
111/02/17,"20,447,347","13,171,026,165",644.00,646.00,641.00,645.00,-1.00,"16,116"
111/02/18,"21,948,975","13,997,433,486",638.00,639.00,636.00,637.00,-8.00,"23,892"
111/02/21,"25,769,408","16,320,629,980",633.00,636.00,632.00,632.00,-5.00,"41,961"
111/02/22,"38,526,210","24,153,923,316",628.00,630.00,625.00,627.00,-5.00,"68,303"
111/02/23,"34,561,338","21,606,428,438",624.00,629.00,623.00,625.00,-2.00,"50,926"
111/02/24,"80,672,979","49,358,065,299",618.00,619.00,604.00,604.00,-21.00,"188,248"
111/02/25,"94,155,943","56,880,320,916",600.00,609.00,600.00,604.00,0.00,"129,776"
