日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/09/02,"30,859,517","3,120,032,522",100.00,102.00,99.60,102.00,+1.50,"10,416"
102/09/03,"33,838,396","3,462,383,175",103.00,103.00,101.50,102.00,0.00,"10,651"
102/09/04,"25,229,190","2,540,221,572",100.50,101.50,100.00,100.50,-1.50,"8,405"
102/09/05,"35,890,329","3,625,656,509",100.50,101.50,100.00,101.50,+1.00,"6,991"
102/09/06,"25,342,215","2,577,284,287",102.00,102.00,101.00,102.00,+0.50,"6,824"
102/09/09,"33,083,237","3,384,738,473",102.50,103.00,101.00,103.00,+1.00,"9,300"
102/09/10,"37,392,161","3,877,481,244",103.00,104.50,102.50,104.50,+1.50,"10,178"
102/09/11,"41,349,427","4,301,437,408",103.00,104.50,102.50,104.50,0.00,"8,961"
102/09/12,"32,865,283","3,411,851,649",103.00,104.50,103.00,103.50,-1.00,"7,435"
102/09/13,"23,635,017","2,423,125,734",102.50,103.00,102.00,102.50,-1.00,"6,354"
102/09/14,"5,222,316","537,513,232",102.50,103.50,102.00,102.50,0.00,"2,440"
102/09/16,"40,693,136","4,271,620,780",104.00,105.50,104.00,105.50,+3.00,"12,903"
102/09/17,"25,467,674","2,678,016,770",105.50,105.50,104.50,105.50,0.00,"5,644"
102/09/18,"34,987,213","3,638,209,439",105.00,105.50,103.00,103.00,-2.50,"5,930"
102/09/23,"57,281,171","5,999,783,595",103.00,106.00,102.50,105.50,+2.50,"11,435"
102/09/24,"28,676,262","3,010,502,846",105.00,105.50,104.00,105.00,-0.50,"6,370"
102/09/25,"35,289,731","3,646,816,293",104.50,104.50,103.00,103.00,-2.00,"9,153"
102/09/26,"23,059,548","2,360,281,896",103.50,103.50,101.50,101.50,-1.50,"5,431"
102/09/27,"26,663,268","2,741,683,791",103.50,103.50,102.00,103.00,+1.50,"5,626"
102/09/30,"46,224,704","4,656,013,654",100.50,102.00,100.00,100.50,-2.50,"11,263"
