日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/10/03,"18,987,856","3,525,971,989",186.00,186.50,184.50,186.00,+3.50,"6,733"
105/10/04,"17,139,682","3,191,090,272",185.00,187.00,185.00,187.00,+1.00,"6,392"
105/10/05,"19,144,379","3,549,073,494",186.00,186.00,184.50,186.00,-1.00,"6,115"
105/10/06,"15,715,729","2,928,528,801",185.00,187.50,185.00,187.50,+1.50,"6,847"
105/10/07,"15,870,415","2,969,715,475",188.00,188.00,186.00,188.00,+0.50,"6,887"
105/10/11,"31,107,793","5,874,765,484",191.00,191.00,186.00,187.50,-0.50,"10,879"
105/10/12,"24,592,212","4,625,439,668",186.50,190.00,186.00,189.50,+2.00,"7,805"
105/10/13,"40,728,212","7,675,208,676",190.50,191.00,187.00,188.50,-1.00,"13,817"
105/10/14,"34,340,209","6,450,978,969",187.00,189.00,186.50,188.00,-0.50,"13,583"
105/10/17,"37,878,270","7,051,992,670",186.50,187.50,185.00,186.50,-1.50,"9,908"
105/10/18,"40,651,809","7,582,450,283",186.50,187.00,185.50,187.00,+0.50,"8,180"
105/10/19,"38,143,867","7,206,475,473",187.50,189.50,187.50,189.50,+2.50,"8,834"
105/10/20,"15,736,203","2,989,556,440",189.50,190.50,189.00,190.50,+1.00,"4,787"
105/10/21,"22,316,844","4,246,605,266",191.00,192.00,188.50,188.50,-2.00,"8,198"
105/10/24,"14,381,349","2,742,131,352",191.00,191.00,189.50,191.00,+2.50,"5,860"
105/10/25,"19,145,940","3,680,309,682",192.00,193.00,191.00,193.00,+2.00,"7,455"
105/10/26,"24,885,036","4,758,575,792",190.50,192.50,190.50,191.50,-1.50,"7,594"
105/10/27,"26,883,192","5,089,143,513",191.50,191.50,188.50,188.50,-3.00,"9,385"
105/10/28,"33,106,885","6,268,990,744",189.50,190.00,188.50,189.50,+1.00,"6,562"
105/10/31,"25,830,651","4,871,340,189",189.00,190.50,186.50,188.50,-1.00,"6,560"
