日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/08/01,"20,314,999","4,325,934,287",212.50,214.00,212.00,212.00,-2.50,"7,318"
106/08/02,"30,528,035","6,574,998,275",214.00,216.00,214.00,216.00,+4.00,"11,028"
106/08/03,"27,097,397","5,779,905,218",213.00,214.00,212.50,213.50,-2.50,"7,041"
106/08/04,"22,187,420","4,735,259,954",213.50,214.00,212.50,213.00,-0.50,"5,240"
106/08/07,"21,594,977","4,653,776,958",213.50,216.50,213.50,216.00,+3.00,"7,115"
106/08/08,"25,223,804","5,483,118,368",217.50,219.00,216.00,217.50,+1.50,"8,404"
106/08/09,"28,129,447","6,035,247,455",215.00,215.50,213.50,214.50,-3.00,"9,826"
106/08/10,"27,440,049","5,866,558,686",215.50,215.50,212.50,214.00,-0.50,"8,227"
106/08/11,"41,592,129","8,803,564,627",211.00,213.50,210.50,212.50,-1.50,"13,751"
106/08/14,"29,414,616","6,233,486,198",213.50,214.00,210.00,211.00,-1.50,"7,719"
106/08/15,"14,385,915","3,073,117,310",213.00,214.50,213.00,214.00,+3.00,"5,250"
106/08/16,"25,206,990","5,357,190,370",214.50,214.50,211.00,213.00,-1.00,"8,610"
106/08/17,"8,353,232","1,785,167,148",213.50,214.00,213.00,214.00,+1.00,"3,120"
106/08/18,"14,363,526","3,043,468,038",212.00,213.00,211.00,212.50,-1.50,"3,999"
106/08/21,"13,847,499","2,934,064,688",212.50,213.00,211.50,211.50,-1.00,"5,152"
106/08/22,"17,330,415","3,710,809,960",213.50,214.50,213.00,214.50,+3.00,"7,908"
106/08/23,"11,757,917","2,531,926,275",215.50,216.00,214.00,215.50,+1.00,"5,873"
106/08/24,"15,426,842","3,341,510,582",216.00,217.00,215.50,217.00,+1.50,"6,953"
106/08/25,"10,975,387","2,384,766,481",217.50,217.50,216.00,217.50,+0.50,"5,546"
106/08/28,"16,512,159","3,564,102,094",215.00,216.50,215.00,216.00,-1.50,"5,673"
106/08/29,"16,561,161","3,569,385,647",216.00,216.00,215.00,216.00,0.00,"5,587"
106/08/30,"19,674,310","4,274,683,770",216.00,218.00,216.00,217.50,+1.50,"6,732"
106/08/31,"26,945,202","5,837,056,904",217.50,218.00,215.50,216.50,-1.00,"6,585"
