日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/06/03,"35,834,419","3,858,216,000",108.00,108.50,106.50,107.50,-2.00,"9,111"
102/06/04,"27,476,915","2,987,301,735",109.00,110.00,107.50,109.00,+1.50,"6,964"
102/06/05,"25,581,235","2,802,975,365",109.50,110.50,108.50,109.50,+0.50,"4,331"
102/06/06,"34,251,239","3,696,663,148",108.50,109.50,107.00,107.50,-2.00,"8,225"
102/06/07,"33,085,685","3,599,966,794",108.00,109.50,108.00,108.50,+1.00,"9,288"
102/06/10,"21,941,087","2,389,739,825",110.00,110.00,108.00,108.50,0.00,"5,544"
102/06/11,"37,162,875","4,039,110,540",110.00,110.00,108.00,108.00,-0.50,"7,971"
102/06/13,"61,059,253","6,426,059,165",106.00,107.00,104.00,104.50,-3.50,"15,038"
102/06/14,"41,207,256","4,344,673,136",105.00,106.00,104.50,106.00,+1.50,"8,686"
102/06/17,"23,014,898","2,427,943,688",105.50,106.00,105.00,106.00,0.00,"7,015"
102/06/18,"31,676,097","3,345,414,299",105.00,106.50,104.50,106.50,+0.50,"6,753"
102/06/19,"22,084,611","2,334,582,437",106.00,106.50,105.00,105.50,-1.00,"5,112"
102/06/20,"29,998,376","3,129,908,604",105.00,105.50,103.50,104.00,-1.50,"8,257"
102/06/21,"39,844,187","4,087,505,319",102.00,103.50,101.50,103.50,-0.50,"8,632"
102/06/24,"54,091,378","5,489,104,333",102.50,102.50,100.00,101.00,-2.50,"12,255"
102/06/25,"33,897,665","3,438,163,165",101.00,103.00,101.00,101.00,0.00,"8,672"
102/06/26,"55,865,189","5,734,087,278",103.00,104.00,101.50,101.50,+0.50,"12,682"
102/06/27,"46,982,476","4,874,831,619",103.00,105.00,103.00,104.50,+3.00,"12,441"
102/06/28,"74,514,857","8,058,161,932",106.00,111.00,105.00,111.00,+6.50,"15,111"
