日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
99/10/01,"39,000,599","2,416,952,821",62.20,62.30,61.70,62.00,0.00,"9,826"
99/10/04,"25,797,121","1,595,534,334",62.00,62.10,61.60,61.90,-0.10,"7,673"
99/10/05,"30,388,674","1,859,478,014",61.70,61.70,60.90,61.10,-0.80,"6,628"
99/10/06,"34,183,594","2,108,602,248",61.90,62.00,61.50,61.80,+0.70,"7,261"
99/10/07,"39,333,781","2,410,386,004",61.40,61.70,61.00,61.30,-0.50,"7,904"
99/10/08,"58,237,104","3,576,277,442",61.00,61.80,61.00,61.80,+0.50,"8,728"
99/10/11,"24,646,815","1,516,846,914",62.00,62.00,61.10,61.50,-0.30,"5,124"
99/10/12,"28,094,400","1,706,881,600",61.50,61.50,60.40,61.00,-0.50,"8,419"
99/10/13,"31,040,128","1,885,446,629",61.30,61.30,60.40,61.00,0.00,"7,976"
99/10/14,"48,827,692","3,012,350,686",61.40,62.00,61.30,61.80,+0.80,"11,545"
99/10/15,"30,492,277","1,879,956,776",61.30,61.90,61.20,61.90,+0.10,"6,459"
99/10/18,"32,530,604","1,973,459,304",61.40,61.80,60.40,60.50,-1.40,"9,099"
99/10/19,"36,089,952","2,180,870,468",60.60,60.70,60.10,60.70,+0.20,"9,030"
99/10/20,"34,490,907","2,097,019,527",60.50,61.10,60.40,61.00,+0.30,"8,292"
99/10/21,"40,237,461","2,458,712,121",61.30,61.40,60.80,61.00,0.00,"7,376"
99/10/22,"42,971,490","2,646,457,386",61.70,61.80,61.40,61.80,+0.80,"9,208"
99/10/25,"38,700,363","2,398,665,034",62.00,62.20,61.80,62.00,+0.20,"10,753"
99/10/26,"37,964,025","2,359,307,050",62.20,62.30,62.00,62.30,+0.30,"9,725"
99/10/27,"28,106,224","1,747,861,763",62.30,62.40,61.90,62.00,-0.30,"6,328"
99/10/28,"62,152,025","3,887,832,025",62.40,63.00,62.10,62.70,+0.70,"13,925"
99/10/29,"67,950,318","4,273,677,075",63.00,63.10,62.50,62.80,+0.10,"15,541"
