日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/01,"47,572,034","13,022,612,818",276.50,276.50,271.50,271.50,-2.50,"19,580"
109/04/06,"59,712,754","16,324,198,154",273.00,275.50,270.00,275.50,+4.00,"19,971"
109/04/07,"48,887,346","13,817,936,851",283.50,284.00,280.50,283.00,+7.50,"24,281"
109/04/08,"38,698,826","11,016,972,354",285.00,285.50,283.00,285.00,+2.00,"19,126"
109/04/09,"29,276,430","8,346,209,654",287.50,288.00,282.50,283.00,-2.00,"15,271"
109/04/10,"28,206,858","7,894,277,586",280.00,282.00,279.00,279.50,-3.50,"15,833"
109/04/13,"22,196,596","6,202,532,380",278.50,281.50,278.50,278.50,-1.00,"12,809"
109/04/14,"50,196,688","14,268,689,661",281.00,285.50,280.00,285.00,+6.50,"22,214"
109/04/15,"58,561,434","16,819,851,630",287.00,288.50,286.00,287.50,+2.50,"25,696"
109/04/16,"48,257,280","13,813,721,932",283.00,288.50,283.00,286.50,-1.00,"19,084"
109/04/17,"117,447,201","35,719,172,728",303.50,308.50,300.50,306.50,+20.00,"60,873"
109/04/20,"44,586,860","13,605,802,989",308.00,309.00,302.50,304.00,-2.50,"21,791"
109/04/21,"61,949,357","18,417,786,171",300.50,301.50,293.50,295.00,-9.00,"39,043"
109/04/22,"43,568,580","12,746,170,556",294.50,295.00,290.50,294.00,-1.00,"25,176"
109/04/23,"39,977,278","11,864,085,990",300.00,300.00,294.00,295.50,+1.50,"18,541"
109/04/24,"26,465,090","7,799,075,756",295.50,297.00,294.00,294.00,-1.50,"13,661"
109/04/27,"38,493,406","11,461,378,300",298.00,298.50,296.00,298.00,+4.00,"15,916"
109/04/28,"37,621,165","11,134,919,970",298.50,298.50,294.50,296.50,-1.50,"18,214"
109/04/29,"46,253,301","13,861,245,296",299.00,301.50,298.00,299.00,+2.50,"21,633"
109/04/30,"58,439,085","17,753,466,901",302.00,305.00,301.50,304.50,+5.50,"26,219"
