日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/11/01,"37,363,232","2,754,350,295",73.50,74.00,73.00,73.80,+0.20,"8,643"
100/11/02,"34,693,880","2,546,513,447",73.10,73.90,72.40,73.90,+0.10,"8,278"
100/11/03,"43,447,566","3,177,894,847",74.20,74.20,72.30,73.50,-0.40,"8,857"
100/11/04,"57,309,287","4,277,362,262",74.50,74.90,73.90,74.60,+1.10,"13,961"
100/11/07,"29,685,653","2,219,387,371",75.00,75.20,74.30,75.00,+0.40,"7,388"
100/11/08,"21,482,009","1,599,494,706",75.00,75.00,74.00,74.50,-0.50,"5,920"
100/11/09,"20,575,896","1,531,224,513",74.90,74.90,74.10,74.10,-0.40,"5,223"
100/11/10,"49,448,638","3,601,248,565",72.50,73.40,72.50,72.60,-1.50,"8,347"
100/11/11,"27,527,803","2,013,820,580",73.50,73.60,72.60,73.40,+0.80,"7,448"
100/11/14,"63,725,093","4,810,724,916",74.90,76.00,74.60,75.90,+2.50,"18,034"
100/11/15,"37,165,042","2,803,144,119",75.50,76.00,75.00,76.00,+0.10,"10,545"
100/11/16,"39,988,018","3,020,326,950",76.00,76.00,74.90,75.40,-0.60,"9,292"
100/11/17,"34,944,675","2,635,499,218",75.20,76.00,74.80,75.70,+0.30,"9,129"
100/11/18,"56,459,308","4,211,471,792",75.00,75.20,73.70,74.20,-1.50,"9,287"
100/11/21,"23,406,267","1,717,903,202",73.20,73.90,73.00,73.30,-0.90,"5,849"
100/11/22,"47,492,221","3,531,645,858",75.20,75.20,73.80,74.00,+0.70,"9,696"
100/11/23,"43,984,809","3,226,833,226",74.00,74.50,73.10,73.40,-0.60,"8,471"
100/11/24,"47,608,921","3,471,132,619",72.90,73.20,72.60,72.80,-0.60,"8,142"
100/11/25,"38,314,107","2,767,183,720",73.00,73.30,71.30,71.60,-1.20,"8,769"
100/11/28,"34,957,012","2,569,936,811",71.60,74.40,71.60,73.60,+2.00,"9,524"
100/11/29,"42,724,548","3,140,182,368",73.80,74.20,72.90,73.60,0.00,"8,654"
100/11/30,"51,449,819","3,805,245,022",74.00,74.60,73.00,74.60,+1.00,"8,122"
