日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/04/01,"30,274,033","2,133,378,022",70.70,70.80,70.10,70.70,+0.10,"5,174"
100/04/06,"114,460,250","8,301,842,095",71.50,72.90,71.50,72.90,+2.20,"25,496"
100/04/07,"45,215,954","3,283,279,085",73.00,73.00,72.30,72.80,-0.10,"9,827"
100/04/08,"65,763,831","4,782,338,327",72.90,73.00,72.40,72.90,+0.10,"9,173"
100/04/11,"62,602,112","4,503,047,226",73.00,73.00,70.90,71.10,-1.80,"10,791"
100/04/12,"45,964,636","3,231,872,388",70.50,70.70,70.10,70.10,-1.00,"10,389"
100/04/13,"27,891,600","1,964,191,434",70.10,70.80,70.00,70.70,+0.60,"6,801"
100/04/14,"53,756,684","3,757,806,950",70.30,70.50,69.60,69.80,-0.90,"12,461"
100/04/15,"52,231,570","3,629,601,369",70.00,70.00,69.10,69.20,-0.60,"11,026"
100/04/18,"27,185,278","1,877,233,082",69.80,69.80,68.80,69.00,-0.20,"6,035"
100/04/19,"42,733,182","2,915,769,158",68.50,68.50,68.00,68.10,-0.90,"9,788"
100/04/20,"48,244,873","3,333,577,105",69.00,69.80,68.50,69.80,+1.70,"9,868"
100/04/21,"50,937,217","3,606,899,284",70.70,71.30,70.30,70.70,+0.90,"12,730"
100/04/22,"25,371,724","1,792,206,477",70.90,71.00,70.30,70.90,+0.20,"5,550"
100/04/25,"22,103,592","1,556,732,134",71.00,71.10,70.10,70.30,-0.60,"4,696"
100/04/26,"31,931,088","2,226,635,524",69.70,70.30,69.10,70.30,0.00,"8,675"
100/04/27,"59,307,601","4,271,965,822",71.50,72.70,71.50,72.30,+2.00,"17,352"
100/04/28,"83,614,038","6,125,682,340",73.40,73.70,72.90,73.00,+0.70,"17,830"
100/04/29,"93,588,212","6,882,965,276",73.70,73.90,72.90,73.20,+0.20,"17,949"
