日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/08/01,"32,509,794","3,285,635,040",102.00,102.00,100.00,100.50,-2.00,"7,756"
102/08/02,"28,039,940","2,845,200,929",102.50,103.00,100.00,100.50,0.00,"7,866"
102/08/05,"23,372,612","2,349,053,712",100.00,101.50,99.90,100.50,0.00,"6,400"
102/08/06,"42,787,275","4,242,132,263",100.50,100.50,98.60,98.80,-1.70,"13,012"
102/08/07,"45,969,616","4,484,924,070",98.50,98.50,97.00,97.00,-1.80,"15,082"
102/08/08,"55,873,275","5,383,171,749",96.00,97.10,95.30,96.40,-0.60,"14,412"
102/08/09,"47,192,333","4,585,250,023",100.00,100.00,96.40,96.40,0.00,"13,162"
102/08/12,"33,454,945","3,215,945,925",96.40,96.70,95.60,96.00,-0.40,"10,395"
102/08/13,"34,392,082","3,332,838,031",96.00,97.40,96.00,97.20,+1.20,"9,192"
102/08/14,"44,023,158","4,245,439,666",96.00,97.30,95.80,96.80,-0.40,"9,471"
102/08/15,"42,687,594","4,096,103,714",96.40,96.40,95.30,96.00,-0.80,"13,251"
102/08/16,"37,698,875","3,632,993,006",95.40,97.50,95.20,96.50,+0.50,"11,061"
102/08/19,"52,061,061","4,975,788,608",95.50,96.10,95.30,95.50,-1.00,"11,661"
102/08/20,"42,471,292","4,029,465,558",95.20,95.40,94.40,94.40,-1.10,"13,924"
102/08/22,"60,311,712","5,666,452,853",93.00,94.90,92.90,94.50,+0.10,"15,238"
102/08/23,"44,454,018","4,301,442,889",95.70,97.30,95.50,97.00,+2.50,"12,547"
102/08/26,"18,698,683","1,810,213,458",97.60,97.60,96.10,96.80,-0.20,"6,745"
102/08/27,"24,474,640","2,352,807,871",96.00,96.80,95.60,95.60,-1.20,"7,827"
102/08/28,"35,977,333","3,476,155,213",95.60,97.30,95.10,96.80,+1.20,"10,927"
102/08/29,"52,396,628","5,026,886,622",96.90,98.90,96.90,98.70,+1.90,"11,284"
102/08/30,"38,965,628","3,890,537,600",99.60,100.50,98.80,100.50,+1.80,"11,441"
