日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/12/02,"19,042,556","1,994,578,324",105.00,105.50,104.00,104.50,-0.50,"4,418"
102/12/03,"26,811,219","2,795,162,276",104.00,105.00,103.50,104.00,-0.50,"4,779"
102/12/04,"23,630,506","2,477,199,932",103.50,105.50,103.50,105.00,+1.00,"5,304"
102/12/05,"25,209,310","2,621,454,740",105.00,105.00,103.50,104.00,-1.00,"5,844"
102/12/06,"25,358,888","2,629,648,379",103.00,104.50,103.00,103.00,-1.00,"5,835"
102/12/09,"23,971,547","2,508,093,125",104.00,105.00,104.00,105.00,+2.00,"5,324"
102/12/10,"22,935,827","2,395,317,608",104.50,105.00,104.00,104.00,-1.00,"4,643"
102/12/11,"24,614,282","2,572,981,941",103.50,105.00,103.50,105.00,+1.00,"7,385"
102/12/12,"18,536,758","1,918,939,414",104.50,104.50,103.00,103.00,-2.00,"5,445"
102/12/13,"28,297,055","2,910,409,165",102.50,103.50,102.50,102.50,-0.50,"7,034"
102/12/16,"18,772,079","1,920,338,558",102.50,103.00,102.00,102.00,-0.50,"6,032"
102/12/17,"26,232,839","2,719,517,917",103.00,104.50,103.00,103.50,+1.50,"6,356"
102/12/18,"66,102,080","6,714,534,840",102.50,103.00,101.00,101.00,-2.50,"15,072"
102/12/19,"27,824,774","2,839,659,307",102.00,103.00,101.50,102.50,+1.50,"6,192"
102/12/20,"37,618,688","3,848,115,676",101.50,103.50,101.50,102.00,-0.50,"8,353"
102/12/23,"28,393,645","2,950,613,229",103.00,104.50,103.00,104.00,+2.00,"6,994"
102/12/24,"14,079,188","1,454,251,243",104.00,104.00,103.00,103.00,-1.00,"3,724"
102/12/25,"9,789,067","1,008,674,401",102.50,103.50,102.50,103.00,0.00,"2,848"
102/12/26,"6,793,911","704,185,262",103.00,104.00,103.00,104.00,+1.00,"1,135"
102/12/27,"24,135,217","2,507,210,568",103.50,104.50,103.00,104.50,+0.50,"5,626"
102/12/30,"44,280,098","4,659,244,781",104.00,106.00,104.00,106.00,+1.50,"10,564"
102/12/31,"24,484,653","2,582,678,065",105.50,106.00,105.00,105.50,-0.50,"6,632"
