日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
99/05/03,"22,439,818","1,385,450,014",62.60,62.60,61.40,61.60,-0.20,"6,710"
99/05/04,"38,777,618","2,376,239,427",61.90,62.00,60.80,61.00,-0.60,"9,981"
99/05/05,"94,194,138","5,645,924,542",59.90,60.20,59.80,59.80,-1.20,"20,462"
99/05/06,"52,111,898","3,101,589,477",59.80,59.90,59.20,59.50,-0.30,"13,732"
99/05/07,"61,576,134","3,655,990,467",58.60,60.10,58.50,59.40,-0.10,"13,096"
99/05/10,"56,310,864","3,357,154,081",59.40,60.00,59.00,59.80,+0.40,"10,944"
99/05/11,"69,348,267","4,169,995,425",60.40,60.60,59.90,60.10,+0.30,"12,600"
99/05/12,"27,731,388","1,678,095,823",61.00,61.00,60.00,60.10,0.00,"6,714"
99/05/13,"39,908,872","2,435,149,845",60.60,61.50,60.50,61.20,+1.10,"10,578"
99/05/14,"35,601,187","2,170,501,328",60.70,61.50,60.50,61.20,0.00,"5,834"
99/05/17,"73,215,488","4,365,205,080",60.50,60.50,59.10,59.20,-2.00,"17,347"
99/05/18,"30,477,112","1,819,941,228",59.60,60.00,59.40,59.50,+0.30,"8,112"
99/05/19,"51,605,073","3,046,472,074",59.00,59.60,58.60,59.30,-0.20,"12,043"
99/05/20,"31,740,239","1,877,107,593",59.50,59.70,58.90,58.90,-0.40,"7,298"
99/05/21,"46,257,409","2,701,929,090",58.30,59.10,57.90,58.80,-0.10,"10,795"
99/05/24,"19,317,628","1,144,068,926",59.60,59.60,58.70,59.00,+0.20,"5,152"
99/05/25,"51,282,269","3,002,288,110",58.80,58.90,58.10,58.40,-0.60,"9,811"
99/05/26,"42,971,865","2,525,447,035",58.90,59.00,58.50,58.90,+0.50,"7,675"
99/05/27,"55,503,342","3,240,035,278",58.50,59.30,57.70,58.70,-0.20,"12,878"
99/05/28,"61,148,591","3,595,771,564",58.90,59.40,58.30,58.70,0.00,"14,229"
99/05/31,"25,401,129","1,513,537,640",59.10,60.20,58.80,60.20,+1.50,"7,031"
