日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/09/01,"47,994,636","3,322,356,474",69.40,69.80,68.60,68.60,-0.80,"10,282"
100/09/02,"44,964,008","3,042,415,230",69.50,69.50,67.10,67.50,-1.10,"13,796"
100/09/05,"49,912,276","3,312,539,992",66.10,67.10,65.90,66.60,-0.90,"12,835"
100/09/06,"40,850,716","2,711,985,042",66.50,67.20,66.10,66.10,-0.50,"9,801"
100/09/07,"40,117,110","2,720,071,001",67.00,68.60,66.80,68.60,+2.50,"11,733"
100/09/08,"43,046,405","2,967,138,440",69.60,69.60,68.40,68.70,+0.10,"9,523"
100/09/09,"38,350,672","2,665,646,110",69.50,70.10,68.90,69.30,+0.60,"11,193"
100/09/13,"34,951,115","2,414,649,355",69.60,70.00,68.40,68.40,-0.90,"8,661"
100/09/14,"60,845,560","4,134,929,548",69.50,69.60,66.90,67.20,-1.20,"13,812"
100/09/15,"44,236,998","3,046,097,996",69.00,69.80,68.50,69.10,+1.90,"11,209"
100/09/16,"78,609,192","5,621,716,242",70.40,72.00,70.30,71.10,+2.00,"20,647"
100/09/19,"28,798,528","2,049,752,088",71.40,71.70,70.70,71.20,+0.10,"7,367"
100/09/20,"46,911,328","3,314,325,795",71.00,71.70,69.70,70.50,-0.70,"11,007"
100/09/21,"54,414,093","3,898,725,910",71.00,72.10,70.90,72.00,+1.50,"13,868"
100/09/22,"64,921,340","4,514,152,505",70.20,70.50,69.00,69.00,-3.00,"16,718"
100/09/23,"89,409,070","6,071,074,170",68.20,68.90,67.40,67.50,-1.50,"18,056"
100/09/26,"61,686,437","4,159,118,797",67.70,68.30,66.90,67.20,-0.30,"15,317"
100/09/27,"56,719,834","3,945,882,224",68.90,70.20,68.70,69.90,+2.70,"17,185"
100/09/28,"46,783,456","3,286,245,486",70.80,70.90,69.80,70.30,+0.40,"11,757"
100/09/29,"39,956,350","2,805,982,829",69.60,70.90,69.30,70.30,0.00,"9,194"
100/09/30,"60,517,984","4,220,225,580",70.30,70.80,69.00,70.00,-0.30,"12,759"
