日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/12/01,"48,931,728","6,882,084,076",140.50,142.50,138.50,142.50,+3.50,"15,965"
104/12/02,"31,767,868","4,545,318,756",144.00,144.00,142.00,142.50,0.00,"9,705"
104/12/03,"28,204,644","4,013,101,755",141.50,143.00,141.50,142.50,0.00,"5,048"
104/12/04,"31,780,733","4,481,042,445",141.00,142.50,140.50,140.50,-2.00,"10,122"
104/12/07,"41,097,638","5,902,665,174",142.00,144.50,142.00,143.50,+3.00,"15,781"
104/12/08,"34,037,222","4,846,422,179",143.50,144.00,141.00,142.50,-1.00,"9,537"
104/12/09,"30,640,495","4,323,363,409",142.00,142.00,140.50,140.50,-2.00,"8,387"
104/12/10,"41,487,561","5,817,845,601",140.50,141.50,139.00,141.00,+0.50,"8,599"
104/12/11,"32,030,596","4,494,186,536",141.00,142.00,139.00,139.50,-1.50,"10,076"
104/12/14,"37,666,637","5,217,880,999",137.50,139.50,137.50,139.00,-0.50,"7,423"
104/12/15,"27,973,102","3,891,713,298",139.50,140.50,138.00,138.00,-1.00,"8,428"
104/12/16,"58,669,086","8,381,627,759",142.00,144.00,141.00,143.50,+5.50,"23,243"
104/12/17,"34,710,663","5,005,823,882",144.50,145.00,143.00,145.00,+1.50,"13,019"
104/12/18,"41,615,595","5,964,658,320",143.00,145.00,142.00,142.00,-3.00,"8,307"
104/12/21,"26,939,460","3,808,022,515",141.50,142.50,140.50,141.50,-0.50,"8,942"
104/12/22,"17,209,761","2,431,736,616",141.00,142.00,140.50,142.00,+0.50,"5,052"
104/12/23,"18,152,173","2,576,333,960",141.00,143.00,140.50,141.50,-0.50,"5,631"
104/12/24,"13,495,395","1,926,688,090",143.00,143.50,142.00,142.00,+0.50,"4,914"
104/12/25,"6,168,635","880,104,962",142.00,143.50,142.00,143.00,+1.00,"1,797"
104/12/28,"10,831,155","1,555,902,665",143.50,144.00,143.00,143.50,+0.50,"4,191"
104/12/29,"12,968,379","1,848,992,618",143.50,144.00,141.50,142.00,-1.50,"6,037"
104/12/30,"14,713,096","2,098,167,063",142.50,144.00,142.00,142.50,+0.50,"4,651"
104/12/31,"18,677,987","2,671,826,764",142.00,144.00,141.00,143.00,+0.50,"4,188"
