日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/03/02,"41,706,868","6,260,834,709",151.50,153.00,148.50,149.00,-1.50,"14,902"
104/03/03,"29,205,565","4,374,634,250",150.00,151.00,148.50,150.50,+1.50,"10,700"
104/03/04,"32,781,813","4,936,813,407",150.00,151.50,149.00,150.50,0.00,"9,519"
104/03/05,"29,851,795","4,474,822,250",150.00,151.00,148.50,150.00,-0.50,"8,059"
104/03/06,"33,211,114","4,948,740,906",149.00,149.50,148.50,149.00,-1.00,"9,540"
104/03/09,"67,545,510","9,855,160,676",147.50,147.50,145.00,145.50,-3.50,"21,963"
104/03/10,"46,859,211","6,762,792,095",145.00,145.00,144.00,144.00,-1.50,"17,451"
104/03/11,"51,828,263","7,572,305,994",143.50,148.00,143.00,146.00,+2.00,"14,996"
104/03/12,"32,364,794","4,785,611,312",147.00,148.50,146.50,148.00,+2.00,"10,987"
104/03/13,"46,407,830","6,904,477,410",148.00,149.50,147.00,149.00,+1.00,"12,528"
104/03/16,"37,462,553","5,514,486,291",149.00,149.50,146.00,146.00,-3.00,"10,187"
104/03/17,"55,770,359","8,326,102,991",148.50,150.00,148.50,149.00,+3.00,"16,064"
104/03/18,"71,220,784","10,852,430,499",151.00,154.00,150.00,153.50,+4.50,"24,516"
104/03/19,"43,512,703","6,700,872,109",152.50,155.00,152.50,154.00,+0.50,"14,822"
104/03/20,"38,594,575","5,909,217,707",151.50,154.00,151.50,154.00,0.00,"8,722"
104/03/23,"26,369,028","4,049,600,743",154.00,154.00,152.50,153.50,-0.50,"8,438"
104/03/24,"38,207,799","5,811,312,948",153.50,153.50,151.50,151.50,-2.00,"9,866"
104/03/25,"50,140,683","7,584,239,053",152.00,152.50,150.50,151.00,-0.50,"8,084"
104/03/26,"162,835,475","23,745,941,540",145.50,147.00,144.50,145.50,-5.50,"40,030"
104/03/27,"112,919,978","16,228,885,022",144.00,145.50,142.50,142.50,-3.00,"31,660"
104/03/30,"64,898,228","9,275,490,102",142.50,144.00,142.00,142.50,0.00,"20,026"
104/03/31,"56,918,778","8,225,648,688",144.00,145.50,143.00,145.50,+3.00,"14,570"
