日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/08/03,"77,288,571","32,339,719,000",420.50,424.00,415.00,416.00,-9.50,"43,360"
109/08/04,"41,697,445","17,600,499,460",421.50,425.50,418.50,425.50,+9.50,"22,250"
109/08/05,"47,460,834","20,356,413,204",430.50,433.50,426.00,429.00,+3.50,"24,715"
109/08/06,"43,443,627","18,877,761,758",437.50,438.00,431.00,435.00,+6.00,"22,414"
109/08/07,"37,611,388","16,218,241,255",433.50,434.00,428.00,433.00,-2.00,"19,739"
109/08/10,"36,067,500","15,674,843,876",427.50,437.50,427.50,435.50,+2.50,"21,342"
109/08/11,"34,545,313","14,918,017,903",432.00,435.00,429.00,429.00,-6.50,"20,297"
109/08/12,"53,980,474","22,721,731,886",422.00,423.50,419.00,419.00,-10.00,"32,761"
109/08/13,"45,669,335","19,514,322,038",428.00,429.00,424.50,429.00,+10.00,"21,499"
109/08/14,"24,259,947","10,332,447,763",424.00,428.00,423.00,427.00,-2.00,"12,642"
109/08/17,"34,607,731","14,930,831,216",427.00,435.00,425.50,435.00,+8.00,"20,823"
109/08/18,"45,504,160","19,824,413,320",440.00,440.50,432.00,433.00,-2.00,"21,119"
109/08/19,"31,486,800","13,574,970,200",436.00,436.50,427.50,427.50,-5.50,"18,279"
109/08/20,"75,155,235","31,353,886,930",427.00,427.50,401.00,415.00,-12.50,"45,670"
109/08/21,"41,956,467","17,770,610,338",421.50,427.00,420.00,424.50,+9.50,"23,059"
109/08/24,"49,199,406","21,139,093,710",427.50,434.50,425.00,428.00,+3.50,"24,672"
109/08/25,"37,024,899","16,076,146,369",433.50,436.00,430.50,434.50,+6.50,"22,035"
109/08/26,"41,406,340","18,169,230,108",435.50,442.00,435.00,442.00,+7.50,"25,305"
109/08/27,"57,206,712","25,658,355,402",448.00,453.50,444.00,444.00,+2.00,"31,575"
109/08/28,"57,039,210","24,868,453,700",440.00,440.50,431.00,435.00,-9.00,"35,253"
109/08/31,"88,569,538","38,106,113,563",437.00,439.50,426.50,426.50,-8.50,"28,294"
